id,company,robot,country,website,x,linkedin,youtube,careers,b2b_client,stock,valuation,investors,rounds,release,height_cm,weight_kg,walk_kmh,run_kmh,payload_kg,power_hours,software,voice,clothed
1x-neo,1X,NEO,Norway,https://www.1x.tech/neo,https://x.com/1x_tech,,https://youtu.be/bUrLuUxv9gE,,,Private,,"OpenAI, Samsung, EQT, Tiger","125,000,000.00",2023,160,30,4,12,20,2-4,,,Yes
aeirobot-alice,AeiROBOT,Alice,South Korea,https://eng.arobot4all.com/,,,,,,Private,,,,,136,20,,,,,AI-based autonomous soccer robot,,Yes
aeolus-aeo,Aeolus,aeo,USA,https://aeolusbot.com/,,https://www.linkedin.com/company/aeolusrobotics/,https://www.youtube.com/watch?v=c_T-mRX4e4A,https://aeolusbot.com/about#careers,,Private,,,,,,,,,,,,,
agibot-xi,Agibot,XI,China,https://www.agibot.com/,https://x.com/AgiBot_zhiyuan,https://www.linkedin.com/company/agibot/,https://www.youtube.com/watch?v=DQHGV3hrnL0,,,Private,,,,,130,33,,,,,,,No
agile-one,Agile,One,Germany,https://www.agile-robots.com/,,https://www.linkedin.com/company/agile-robots-se/,https://www.youtube.com/@Agile_Robots,,,Private,,,,2026,174,69,,,,,,,No
agility-digit,Agility,Digit,USA,https://agilityrobotics.com/robots,https://x.com/agilityrobotics,https://www.linkedin.com/company/agilityrobotics/,https://youtu.be/rnFZAB9ogEE,,,Private,,"NVIDIA, Sony",,2023,175,64,5.4,5.4,16,3,,,No
apptronik-apollo,Apptronik,Apollo,USA,https://apptronik.com/product-page,https://x.com/apptronik,https://www.linkedin.com/company/apptronik-inc./,https://youtu.be/pymvNott6nw,https://apptronik.com/careers,"Mercedes Benz, GXO",Private,,"Google, Mercedes Benz, ARK",,2023,172,72,,,25,4,Apptronik autonomy stack; hot-swappable battery platform,,No
argon-one,Argon,One,,https://www.argonmech.com/,,,,,,Private,,,,,,,,,,,,,
arx-x7,ARX,X7,China,https://arx-x.com/,https://x.com/ARX_Zhang,,https://www.youtube.com/watch?v=eDhTXj8ChKg,,,Private,,,,,,,,,,,,,
astribot-s1,Astribot,S1,China,https://astribot.com/,https://x.com/Astribot_Inc,,https://youtu.be/6X-s4Qsn1z4,,,Private,,,,2024,165,58,,36,10,,,,No
beyond-imagination-beomni,Beyond Imagination,Beomni,,https://www.beomni.ai/,,,,,,Private,,,,,,,,,,,,,
boardwalk-alex,Boardwalk,Alex,USA,https://boardwalkrobotics.com/,https://x.com/boardwalkrobot,https://www.linkedin.com/company/boardwalk-robotics/,https://www.youtube.com/watch?v=tD3FNZUG2kQ,https://www.boardwalkrobotics.com/Careers,,Private,,,,,,,,,,,,,
